label	lat_decimal	long_decimal
ALG	36.9	7.25
ARR	38.8333333333333	-9.05
AZT	38.5	-9.03333333333333
BUC	40.3666666666667	-8.35
CAT	41.85	2.53333333333333
TOL	39.3666666666667	-5.35
HDL	36.8333333333333	-3.3
MOR	38.4	-4.26666666666667
GUA	40.5166666666667	-3.75
ARA	37.9	-6.73333333333333
EST	40.5333333333333	-7.85
VAR	43.1333333333333	6.25
LAN	43.75	-1.33333333333333
COR	41.6166666666667	8.96666666666667
GER	41.6666666666667	-8.16666666666667
PUG	40.5666666666667	17.6666666666667
LAZ	42.4166666666667	11.95
SIC	37.1166666666667	14.5
TAZ	34.2	-4.25
KEN	34.0833333333333	-6.58333333333333
MON	37.3166666666667	-8.56666666666667
SBA	37.3333333333333	-7.93333333333333
SIN	38.75	-9.41666666666667
SSM	39.3833333333333	-7.36666666666667
MEK	36.95	8.85
FER	36.5833333333333	8.53333333333333
